StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Consent Y/N,Consent Y/N_DO,Q110,Q110_DO,Mental,Mental_DO,MeditationExp,MeditationExp_DO,FirstLanguage,EngLevel,EngLevel_DO,Ipip1,Ipip2,Ipip3,Ipip4,Ipip5,Ipip6,Ipip7,Ipip8,Ipip9,Ipip10,Ipip11,Ipip12,Ipip13,Ipip14,Ipip15,Ipip16,Ipip17,Ipip18,Ipip19,Ipip20,lock14d_First Click,lock14d_Last Click,lock14d_Page Submit,lock14d_Click Count,Q133_First Click,Q133_Last Click,Q133_Page Submit,Q133_Click Count,Q123_First Click,Q123_Last Click,Q123_Page Submit,Q123_Click Count,Q126_First Click,Q126_Last Click,Q126_Page Submit,Q126_Click Count,Q129_First Click,Q129_Last Click,Q129_Page Submit,Q129_Click Count,Stai1,Stai2,Stai3,Stai4,Stai5,Stai6,Stai7,Stai8,Stai9,Stai10,Stai11,Stai12,Stai13,Stai14,Stai15,Stai16,Stai17,Stai18,Stai19,Stai20,Sam1,Sam2,Sam3,Age,Gender,Gender_5_TEXT,Gender_DO,CountryBirth,CountryLive,Student,Student_DO,Univ,Job,FL_158_DO,FL_123_DO,Moderator-Neuroticism_DO,DVs_DO
2022-03-23 23:32:14,2022-03-24 00:03:14,0,1,1860,0,2022-03-31 00:03:21,R_2AR4M6CGAjIr6Rk,anonymous,QUEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-30 23:51:36,2022-03-31 00:21:18,0,100,1781,1,2022-03-31 00:21:18,R_eQaJlGvkhQfoRzP,anonymous,GOLD,1,1|2,1,2|1,4,1|4,2,1|2,English,3,5|3|2|1,2,1,1,3,5,2,1,4,1,3,2,4,4,4,5,4,2,4,4,4,,,,,,,,,,,,,,,,,,,,,4,4,1,1,4,1,1,4,1,4,4,1,1,1,4,4,1,1,4,4,9,4,9,33,2,,3|1|4|2|6|5,Nigeria,United Kingdom,2,2|1,Goldsmiths university,,,,NeuroticismIntro|Ipip1|Ipip7|Ipip11|Ipip8|Ipip17|Ipip16|Ipip5|Ipip20|Ipip14|Ipip15|Ipip10|Ipip2|Ipip13|Ipip3|Ipip9|Ipip19|Ipip4|Ipip12|Ipip18|Ipip6,StressIntro|Stai14|Stai18|Stai7|Stai11|Stai12|Stai4|Stai2|Stai16|Stai19|Stai13|Stai1|Stai3|Stai8|Stai17|Stai20|Stai6|Stai10|Stai5|Stai9|Stai15
2022-03-31 00:01:26,2022-03-31 00:27:59,0,100,1592,1,2022-03-31 00:27:59,R_ZKNVpMUUUHYZriN,anonymous,QUEE,1,1|2,1,2|1,4,1|4,2,1|2,English,3,5|2|3|1,3,3,3,4,4,4,4,4,4,4,3,3,2,3,3,3,4,3,2,3,,,,,,,,,,,,,,,,,,,,,3,2,3,3,2,2,3,2,1,3,2,2,2,3,2,2,2,3,3,2,5,6,5,18,2,,4|3|6|2|1|5,New Zealand,Australia,2,1|2,"University of Queensland ",,,,NeuroticismIntro|Ipip18|Ipip14|Ipip15|Ipip13|Ipip3|Ipip1|Ipip10|Ipip19|Ipip20|Ipip16|Ipip11|Ipip5|Ipip12|Ipip17|Ipip8|Ipip6|Ipip9|Ipip4|Ipip2|Ipip7,StressIntro|Stai6|Stai13|Stai19|Stai2|Stai7|Stai4|Stai15|Stai20|Stai10|Stai12|Stai17|Stai14|Stai3|Stai8|Stai5|Stai18|Stai11|Stai16|Stai1|Stai9
2022-03-31 00:46:30,2022-03-31 00:48:19,0,100,109,1,2022-03-31 00:48:19,R_2YQvpHFjo3isVve,anonymous,GOLD,1,2|1,2,1|2,4,4|1,2,2|1,Romanian,3,3|5|1|2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-31 01:02:46,2022-03-31 01:04:26,0,100,99,1,2022-03-31 01:04:26,R_TcItedTuJt6GKoV,anonymous,QUEE,1,2|1,1,1|2,4,1|4,1,1|2,english,3,3|2|5|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-31 01:04:54,2022-03-31 01:05:57,0,100,63,1,2022-03-31 01:05:57,R_2QKTvN5TaPeeyv4,anonymous,QUEE,1,2|1,1,1|2,1,1|4,2,2|1,english,2,2|3|5|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-31 00:48:33,2022-03-31 01:12:19,0,100,1426,1,2022-03-31 01:12:20,R_1jdEej3Qdpgho7W,anonymous,GOLD,1,2|1,1,2|1,4,1|4,2,1|2,"Romanian ",3,1|3|5|2,1,1,1,2,1,1,1,2,1,2,1,5,1,5,5,4,1,4,4,5,,,,,0,0,1.108,0,,,,,,,,,926.063,927.713,928.516,4,4,4,1,1,3,1,1,3,1,4,4,1,1,1,4,3,2,1,4,4,8,2,7,"19 ",2,,2|1|4|3|5|6,"Romania ","Uk ",2,1|2,"Goldsmith university of London ",,,Condition5c:Smith,NeuroticismIntro|Ipip1|Ipip18|Ipip11|Ipip19|Ipip8|Ipip16|Ipip7|Ipip9|Ipip6|Ipip15|Ipip14|Ipip2|Ipip3|Ipip20|Ipip5|Ipip13|Ipip17|Ipip10|Ipip4|Ipip12,StressIntro|Stai16|Stai13|Stai3|Stai4|Stai17|Stai20|Stai6|Stai15|Stai5|Stai18|Stai9|Stai8|Stai19|Stai2|Stai7|Stai10|Stai12|Stai1|Stai11|Stai14
2022-03-31 01:12:01,2022-03-31 01:14:58,0,100,176,1,2022-03-31 01:14:59,R_brBQID238moAgBr,anonymous,GOLD,1,2|1,1,2|1,1,1|4,2,1|2,English,3,2|1|5|3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-31 01:15:08,2022-03-31 01:39:20,0,100,1451,1,2022-03-31 01:39:20,R_1oBjShHUqHP5U5P,anonymous,GOLD,1,2|1,1,1|2,4,1|4,2,1|2,"English ",3,5|1|2|3,1,2,1,2,3,2,2,2,2,2,5,5,3,4,5,3,5,3,4,5,18.72,51.785,908.697,3,,,,,,,,,,,,,,,,,3,3,1,1,4,1,2,3,1,4,4,1,1,2,2,3,2,1,3,3,7,3,6,19,2,,2|3|6|1|4|5,England,England,2,2|1,Goldsmiths University of London,,,,NeuroticismIntro|Ipip19|Ipip3|Ipip5|Ipip8|Ipip2|Ipip17|Ipip4|Ipip1|Ipip14|Ipip6|Ipip15|Ipip9|Ipip10|Ipip18|Ipip12|Ipip20|Ipip13|Ipip11|Ipip16|Ipip7,StressIntro|Stai6|Stai7|Stai3|Stai18|Stai2|Stai20|Stai11|Stai16|Stai14|Stai15|Stai1|Stai10|Stai13|Stai12|Stai5|Stai17|Stai8|Stai19|Stai4|Stai9
2022-03-31 02:17:04,2022-03-31 02:18:50,0,100,106,1,2022-03-31 02:18:51,R_2pVpEffMACKZS3X,anonymous,MACQ,1,2|1,1,1|2,1,4|1,2,1|2,English,3,3|2|5|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-31 01:59:04,2022-03-31 02:20:47,0,100,1302,1,2022-03-31 02:20:48,R_1g0BsM5LXcnW4dB,anonymous,FRAS,1,2|1,1,2|1,4,1|4,2,2|1,English,2,2|3|5|1,1,1,2,1,4,4,2,5,4,5,5,5,2,1,5,2,1,2,4,2,,,,,0,0,1.011,0,,,,,,,,,12.253,892.906,907.449,9,3,2,1,1,2,1,2,3,1,4,1,2,4,1,4,3,2,2,2,2,6,3,6,19,1,,6|3|1|2|5|4,Belgium,Canada,2,1|2,University of the Fraser Valley,,,Condition5c:Smith,NeuroticismIntro|Ipip2|Ipip13|Ipip3|Ipip7|Ipip12|Ipip4|Ipip5|Ipip16|Ipip15|Ipip1|Ipip10|Ipip9|Ipip6|Ipip20|Ipip18|Ipip8|Ipip14|Ipip19|Ipip11|Ipip17,StressIntro|Stai17|Stai10|Stai7|Stai14|Stai5|Stai13|Stai20|Stai6|Stai9|Stai11|Stai18|Stai15|Stai19|Stai2|Stai12|Stai4|Stai1|Stai16|Stai3|Stai8
2022-03-31 02:18:55,2022-03-31 02:36:39,0,100,1064,1,2022-03-31 02:36:39,R_2lXfBHjs268onLP,anonymous,MACQ,1,2|1,1,2|1,4,1|4,2,2|1,English,3,2|5|3|1,5,4,4,4,5,5,3,4,4,5,4,3,3,3,3,3,3,2,3,3,,,,,,,,,,,,,,,,,,,,,3,3,1,1,3,1,3,3,1,3,3,1,1,1,3,3,1,2,3,3,5,3,8,18,2,,2|4|1|5|3|6,Australia,Australia,2,1|2,Macquarie University,,,,NeuroticismIntro|Ipip15|Ipip10|Ipip3|Ipip17|Ipip12|Ipip19|Ipip2|Ipip7|Ipip18|Ipip11|Ipip9|Ipip13|Ipip6|Ipip5|Ipip1|Ipip4|Ipip8|Ipip20|Ipip14|Ipip16,StressIntro|Stai19|Stai1|Stai15|Stai5|Stai10|Stai12|Stai20|Stai7|Stai18|Stai4|Stai17|Stai6|Stai14|Stai11|Stai13|Stai9|Stai16|Stai8|Stai3|Stai2
2022-03-31 02:36:06,2022-03-31 02:37:01,0,100,54,1,2022-03-31 02:37:01,R_OBwEaL0lrslstQR,anonymous,RADB,2,2|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-31 03:00:58,2022-03-31 03:04:15,0,100,196,1,2022-03-31 03:04:15,R_24pVNqAVKAIHZw6,anonymous,MACQ,1,1|2,2,1|2,4,4|1,2,1|2,English,3,3|1|5|2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-31 02:45:40,2022-03-31 03:09:14,0,100,1414,1,2022-03-31 03:09:14,R_Uz4xklTw56fKZPz,anonymous,RADB,1,1|2,1,2|1,4,1|4,2,2|1,Dutch,2,1|2|3|5,2,1,2,3,1,4,3,2,3,3,4,4,3,3,4,4,5,3,4,4,,,,,,,,,,,,,,,,,,,,,4,4,2,1,3,2,3,3,1,3,3,1,2,2,3,2,2,3,3,3,7,3,5,18,2,,1|6|5|3|4|2,Netherlands,Netherlands,2,2|1,Radboud University,,,,NeuroticismIntro|Ipip1|Ipip4|Ipip15|Ipip3|Ipip8|Ipip13|Ipip10|Ipip2|Ipip20|Ipip11|Ipip17|Ipip18|Ipip19|Ipip14|Ipip5|Ipip9|Ipip6|Ipip16|Ipip12|Ipip7,StressIntro|Stai14|Stai19|Stai18|Stai11|Stai10|Stai9|Stai15|Stai13|Stai7|Stai5|Stai20|Stai16|Stai12|Stai17|Stai1|Stai2|Stai4|Stai3|Stai6|Stai8
2022-03-31 03:11:48,2022-03-31 03:31:23,0,100,1174,1,2022-03-31 03:31:23,R_2Swv84Ruh93eoeM,anonymous,GOLD,1,2|1,1,2|1,4,1|4,2,1|2,"English ",3,2|3|5|1,1,1,1,2,2,2,1,3,1,3,2,4,4,2,3,4,2,1,4,4,696.013,817.336,841.824,12,,,,,,,,,,,,,,,,,3,2,1,2,3,1,2,1,1,2,3,1,1,1,3,3,1,1,2,3,7,3,4,20,2,,4|2|6|3|5|1,UK,UK,2,2|1,"University of Goldsmiths ",,,,NeuroticismIntro|Ipip11|Ipip15|Ipip3|Ipip4|Ipip14|Ipip20|Ipip12|Ipip19|Ipip5|Ipip6|Ipip16|Ipip8|Ipip10|Ipip17|Ipip7|Ipip13|Ipip2|Ipip18|Ipip9|Ipip1,StressIntro|Stai11|Stai5|Stai15|Stai10|Stai1|Stai7|Stai3|Stai9|Stai14|Stai6|Stai8|Stai4|Stai17|Stai13|Stai18|Stai2|Stai16|Stai12|Stai19|Stai20
2022-03-31 04:18:07,2022-03-31 04:40:14,0,100,1327,1,2022-03-31 04:40:15,R_2zZ3o7TiU4wBfLo,anonymous,WURZ,1,2|1,1,2|1,4,1|4,2,1|2,German,2,3|5|2|1,3,3,2,2,4,4,2,4,4,5,4,3,3,2,3,2,4,3,2,4,,,,,0,0,1.113,0,,,,,5.435,882.844,887.664,4,,,,,3,3,1,1,3,1,1,2,1,3,3,1,1,2,3,3,1,1,3,3,5,1,7,20,2,,5|6|1|2|4|3,Germany,Germany,2,2|1,Julius Maximilians Universität Würzburg,,,Condition5b:TheOldMan,NeuroticismIntro|Ipip5|Ipip14|Ipip10|Ipip15|Ipip4|Ipip8|Ipip18|Ipip19|Ipip1|Ipip11|Ipip6|Ipip17|Ipip2|Ipip7|Ipip9|Ipip13|Ipip20|Ipip16|Ipip3|Ipip12,StressIntro|Stai1|Stai18|Stai6|Stai7|Stai5|Stai14|Stai11|Stai13|Stai16|Stai20|Stai19|Stai8|Stai2|Stai10|Stai4|Stai3|Stai15|Stai17|Stai9|Stai12
2022-03-31 04:31:12,2022-03-31 04:56:57,0,100,1544,1,2022-03-31 04:56:58,R_1qURpxH4pbky6Cd,anonymous,RADB,1,1|2,1,1|2,4,4|1,2,2|1,Dutch,2,1|3|2|5,3,2,2,2,1,4,1,3,2,3,3,4,5,3,3,4,5,5,4,4,7.952,881.32,882.152,10,,,,,,,,,,,,,,,,,3,3,1,1,3,1,1,3,1,3,3,1,1,2,3,4,2,1,3,3,7,6,6,19,1,,4|2|1|5|3|6,"Netherlands, The","Netherlands, The",2,1|2,Radboud University Nijmegen,,,,NeuroticismIntro|Ipip1|Ipip11|Ipip15|Ipip13|Ipip19|Ipip16|Ipip6|Ipip5|Ipip18|Ipip17|Ipip8|Ipip14|Ipip9|Ipip3|Ipip4|Ipip12|Ipip10|Ipip2|Ipip20|Ipip7,StressIntro|Stai2|Stai17|Stai6|Stai8|Stai4|Stai1|Stai7|Stai9|Stai20|Stai3|Stai10|Stai15|Stai18|Stai11|Stai12|Stai14|Stai19|Stai5|Stai16|Stai13
2022-03-31 05:11:43,2022-03-31 05:13:39,0,100,116,1,2022-03-31 05:13:40,R_29sLOebnWMgGgmR,anonymous,LIME,1,2|1,2,2|1,4,4|1,2,2|1,"english ",1,3|1|2|5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-31 05:16:26,2022-03-31 05:17:41,0,100,75,1,2022-03-31 05:17:41,R_3D5d4a9u7DjR3iB,anonymous,IOWA,1,1|2,2,1|2,4,4|1,2,1|2,English,3,1|3|2|5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-31 05:32:19,2022-03-31 05:34:31,0,100,131,1,2022-03-31 05:34:31,R_291aIlRp26vrQ5j,anonymous,RADB,1,2|1,1,1|2,4,4|1,2,2|1,"Dutch ",5,1|2|5|3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-31 05:18:01,2022-03-31 05:42:07,0,100,1446,1,2022-03-31 05:42:07,R_BMxtkmQnG85XwD7,anonymous,IOWA,1,2|1,1,1|2,4,1|4,2,1|2,english,3,3|5|2|1,4,4,4,4,4,5,4,5,4,5,1,2,5,2,2,3,1,2,4,2,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,1,3,1,1,1,1,2,1,3,1,1,2,2,1,3,4,2,3,20,1,,1|6|2|3|5|4,usa,usa,2,1|2,iowa state university,,,,NeuroticismIntro|Ipip15|Ipip8|Ipip2|Ipip7|Ipip19|Ipip20|Ipip17|Ipip1|Ipip5|Ipip12|Ipip14|Ipip4|Ipip6|Ipip16|Ipip9|Ipip3|Ipip11|Ipip10|Ipip13|Ipip18,StressIntro|Stai18|Stai7|Stai15|Stai14|Stai19|Stai16|Stai1|Stai10|Stai2|Stai17|Stai6|Stai5|Stai20|Stai4|Stai12|Stai3|Stai13|Stai8|Stai9|Stai11
2022-03-31 05:39:19,2022-03-31 05:42:32,0,100,192,1,2022-03-31 05:42:32,R_3rIMoBtlZYSatG5,anonymous,GOLD,1,2|1,1,1|2,4,4|1,1,1|2,english,2,1|3|5|2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-31 05:34:39,2022-03-31 05:56:55,0,100,1336,1,2022-03-31 05:56:56,R_2ZDZ4EanCtJ4qrs,anonymous,RADB,1,1|2,1,1|2,4,4|1,2,2|1,Dutch,2,1|2|3|5,3,2,4,2,3,4,4,2,3,4,3,4,3,4,4,4,4,2,4,4,,,,,,,,,,,,,,,,,,,,,2,2,1,2,3,1,2,3,1,3,3,1,1,2,2,3,2,1,3,3,7,4,5,18,2,,2|1|3|4|6|5,Netherlands,Netherlands,2,1|2,"Radboud University ",,,,NeuroticismIntro|Ipip13|Ipip1|Ipip9|Ipip3|Ipip4|Ipip20|Ipip10|Ipip19|Ipip16|Ipip7|Ipip15|Ipip14|Ipip11|Ipip2|Ipip8|Ipip6|Ipip17|Ipip18|Ipip12|Ipip5,StressIntro|Stai16|Stai12|Stai5|Stai8|Stai7|Stai6|Stai17|Stai20|Stai9|Stai14|Stai3|Stai15|Stai1|Stai4|Stai19|Stai13|Stai10|Stai18|Stai2|Stai11
2022-03-31 05:59:44,2022-03-31 06:00:53,0,100,68,1,2022-03-31 06:00:54,R_1QoVJZ4rU328FV7,anonymous,GOLD,1,1|2,2,1|2,4,1|4,2,1|2,spanish,2,5|3|1|2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-31 05:42:39,2022-03-31 06:01:14,0,100,1114,1,2022-03-31 06:01:14,R_2ebgnmxnB2l79bb,anonymous,GOLD,1,1|2,1,2|1,4,4|1,2,1|2,english,2,5|3|2|1,2,2,2,4,4,4,3,4,4,4,2,4,1,2,3,4,2,1,2,2,,,,,,,,,,,,,,,,,,,,,3,3,2,1,2,3,3,3,2,2,3,2,1,2,1,2,2,1,2,2,3,3,1,20,2,,5|1|3|6|2|4,England,England,2,2|1,"Goldsmiths University of London ",,,,NeuroticismIntro|Ipip19|Ipip1|Ipip16|Ipip5|Ipip17|Ipip3|Ipip7|Ipip9|Ipip18|Ipip11|Ipip4|Ipip20|Ipip13|Ipip8|Ipip2|Ipip12|Ipip15|Ipip10|Ipip6|Ipip14,StressIntro|Stai5|Stai3|Stai16|Stai10|Stai1|Stai6|Stai13|Stai8|Stai9|Stai14|Stai20|Stai15|Stai12|Stai19|Stai17|Stai4|Stai2|Stai11|Stai7|Stai18
2022-03-31 06:00:58,2022-03-31 06:01:52,0,100,53,1,2022-03-31 06:01:52,R_3nU9aPpS3VK7ZOh,anonymous,GOLD,1,1|2,2,2|1,4,4|1,2,1|2,spanish,2,3|1|2|5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-31 06:03:31,2022-03-31 06:05:19,0,100,107,1,2022-03-31 06:05:19,R_2SBxrSAqbK4nt5T,anonymous,GOLD,1,1|2,2,2|1,4,4|1,1,2|1,"English ",3,5|3|1|2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-31 06:06:13,2022-03-31 06:06:24,0,100,10,1,2022-03-31 06:06:24,R_1Cx1gcyGtERiKej,anonymous,RADB,2,2|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-31 06:02:41,2022-03-31 06:22:00,0,100,1159,1,2022-03-31 06:22:01,R_NVdtP6TNCOiWvZv,anonymous,GOLD,1,1|2,1,1|2,4,4|1,2,1|2,"Spanish ",2,3|2|5|1,2,3,3,4,4,5,5,2,5,5,3,4,3,2,4,4,3,2,4,5,,,,,,,,,,,,,,,,,,,,,4,4,1,1,2,2,3,4,1,4,3,1,1,1,2,4,1,1,3,3,7,5,5,20,2,,2|3|1|5|6|4,Spain,"England ",2,1|2,"Goldsmiths ",,,,NeuroticismIntro|Ipip18|Ipip20|Ipip19|Ipip17|Ipip8|Ipip12|Ipip5|Ipip3|Ipip2|Ipip6|Ipip15|Ipip13|Ipip7|Ipip9|Ipip16|Ipip10|Ipip1|Ipip4|Ipip14|Ipip11,StressIntro|Stai15|Stai16|Stai13|Stai4|Stai6|Stai17|Stai12|Stai9|Stai8|Stai18|Stai14|Stai10|Stai2|Stai11|Stai1|Stai7|Stai3|Stai5|Stai20|Stai19
2022-03-31 06:07:35,2022-03-31 06:30:18,0,100,1362,1,2022-03-31 06:30:18,R_2c5FU8VAReIBIVl,anonymous,NEWF,1,2|1,1,1|2,4,4|1,2,1|2,English,3,1|5|3|2,3,2,4,2,4,4,2,5,4,5,2,3,3,3,3,4,2,2,3,4,,,,,0,0,1.011,0,0,0,916.382,0,,,,,,,,,3,3,2,1,3,2,1,2,1,2,1,2,1,1,3,3,2,2,3,3,5,3,3,19,2,,6|4|1|5|2|3,Canada,Canada,2,1|2,Memorial University of Newfoundland,,,Condition5a:Silverview,NeuroticismIntro|Ipip19|Ipip17|Ipip3|Ipip10|Ipip5|Ipip1|Ipip6|Ipip15|Ipip13|Ipip2|Ipip12|Ipip9|Ipip20|Ipip18|Ipip16|Ipip8|Ipip14|Ipip4|Ipip7|Ipip11,StressIntro|Stai10|Stai13|Stai1|Stai11|Stai9|Stai6|Stai3|Stai16|Stai20|Stai2|Stai18|Stai19|Stai14|Stai12|Stai8|Stai7|Stai4|Stai15|Stai5|Stai17
2022-03-31 06:24:43,2022-03-31 06:48:00,0,100,1396,1,2022-03-31 06:48:00,R_1Eier5EarTIPVJr,anonymous,GOLD,1,2|1,1,2|1,4,4|1,2,2|1,"English ",3,1|2|5|3,3,1,2,5,4,3,1,4,1,5,3,5,2,3,4,3,2,2,4,4,,,,,,,,,,,,,,,,,,,,,3,3,1,1,3,1,1,4,1,4,3,1,1,1,3,4,2,1,3,4,9,1,5,19,2,,4|6|1|3|2|5,"England ","England ",2,2|1,"Goldsmiths ",,,,NeuroticismIntro|Ipip10|Ipip12|Ipip7|Ipip1|Ipip4|Ipip8|Ipip6|Ipip15|Ipip17|Ipip3|Ipip13|Ipip9|Ipip5|Ipip16|Ipip11|Ipip18|Ipip2|Ipip20|Ipip14|Ipip19,StressIntro|Stai8|Stai9|Stai14|Stai1|Stai13|Stai12|Stai10|Stai2|Stai17|Stai6|Stai3|Stai15|Stai5|Stai20|Stai11|Stai18|Stai7|Stai4|Stai16|Stai19
2022-03-31 06:39:05,2022-03-31 07:02:26,0,100,1400,1,2022-03-31 07:02:26,R_1OkpfNHjNJIzLUH,anonymous,RADB,1,2|1,1,2|1,4,4|1,2,1|2,Dutch,2,2|3|1|5,3,5,2,2,2,4,2,2,3,4,3,3,1,3,2,4,2,2,4,4,593.294,874.112,877.597,2,,,,,,,,,,,,,,,,,3,2,2,1,3,1,2,3,1,2,2,2,1,2,3,3,1,1,3,3,6,2,6,26,1,,6|4|5|3|1|2,Netherlands,Netherlands,2,1|2,Radboud university,,,,NeuroticismIntro|Ipip19|Ipip14|Ipip4|Ipip3|Ipip12|Ipip7|Ipip17|Ipip9|Ipip18|Ipip10|Ipip8|Ipip16|Ipip5|Ipip15|Ipip6|Ipip20|Ipip2|Ipip1|Ipip11|Ipip13,StressIntro|Stai2|Stai14|Stai19|Stai1|Stai10|Stai9|Stai3|Stai20|Stai12|Stai8|Stai5|Stai15|Stai13|Stai7|Stai16|Stai11|Stai6|Stai18|Stai4|Stai17
2022-03-24 07:09:03,2022-03-24 07:09:16,0,1,13,0,2022-03-31 07:09:19,R_3gYqXamNdZArOKm,anonymous,NEWF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-24 07:10:57,2022-03-24 07:11:39,0,9,42,0,2022-03-31 07:11:43,R_2TmBQDYosdW4gGt,anonymous,NEWF,1,1|2,1,2|1,4,4|1,2,1|2,English,5,3|1|2|5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-31 07:11:07,2022-03-31 07:12:59,0,100,111,1,2022-03-31 07:12:59,R_3fw2m6JylCe8xSR,anonymous,LIME,1,2|1,2,2|1,4,1|4,2,1|2,"English ",3,1|5|3|2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-24 07:28:11,2022-03-24 07:28:53,0,9,41,0,2022-03-31 07:28:56,R_yK3IsagmWLtQREt,anonymous,SPRI,1,2|1,2,1|2,4,4|1,2,2|1,English,3,5|1|2|3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-31 07:13:02,2022-03-31 07:33:17,0,100,1215,1,2022-03-31 07:33:17,R_3PhtoU1H8wI9dhD,anonymous,LIME,1,2|1,1,1|2,4,1|4,2,2|1,"English ",3,5|2|1|3,2,2,4,3,4,5,4,4,4,5,4,4,3,3,4,5,3,3,5,4,,,,,,,,,,,,,,,,,,,,,4,2,1,1,4,1,3,2,1,4,3,2,1,2,3,3,3,1,3,4,6,3,7,18,2,,4|6|5|1|3|2,"Ireland ","Ireland ",2,1|2,"University of Limerick ",,,,NeuroticismIntro|Ipip12|Ipip17|Ipip18|Ipip1|Ipip8|Ipip7|Ipip6|Ipip15|Ipip4|Ipip5|Ipip13|Ipip3|Ipip11|Ipip20|Ipip14|Ipip16|Ipip2|Ipip9|Ipip10|Ipip19,StressIntro|Stai17|Stai12|Stai13|Stai4|Stai2|Stai8|Stai15|Stai5|Stai6|Stai11|Stai20|Stai10|Stai7|Stai19|Stai9|Stai16|Stai1|Stai3|Stai14|Stai18
2022-03-31 07:16:22,2022-03-31 07:44:44,0,100,1701,1,2022-03-31 07:44:44,R_2aaCp555nAHPSvu,anonymous,WURZ,1,1|2,1,2|1,4,4|1,2,1|2,German,2,1|2|5|3,1,1,2,2,2,5,4,3,5,5,5,5,2,2,4,2,3,2,3,4,7.086,893.443,904.402,3,,,,,,,,,,,,,,,,,4,2,2,2,3,1,1,2,1,3,3,1,1,1,4,2,1,1,3,2,6,3,7,18,1,,6|1|3|5|2|4,Germany,Germany,2,1|2,"University of Würzburg ",,,,NeuroticismIntro|Ipip1|Ipip15|Ipip11|Ipip6|Ipip3|Ipip2|Ipip19|Ipip5|Ipip7|Ipip12|Ipip20|Ipip17|Ipip9|Ipip14|Ipip8|Ipip16|Ipip4|Ipip18|Ipip10|Ipip13,StressIntro|Stai18|Stai12|Stai10|Stai3|Stai2|Stai13|Stai19|Stai1|Stai17|Stai15|Stai7|Stai14|Stai4|Stai16|Stai6|Stai11|Stai9|Stai5|Stai8|Stai20
